id,qid
191,Q43174123
192,Q43174159
193,Q43174197
194,Q43174312
195,Q43174312
196,Q43174312
197,Q43174319
198,Q43174341
199,Q43174366
200,Q43174381
201,Q43174469
202,Q43174594
203,Q43174605
204,Q43175282
205,Q43175453
206,Q43175541
207,Q43176155
208,Q43176168
209,Q43176231
210,Q43176258
211,Q43176454
212,Q43176520
213,Q43176550
214,Q43176948
215,Q43177072
216,Q43177092
217,Q43177100
218,Q43177155
219,Q43177227
220,Q43177266
221,Q43177395
222,Q43177410
223,Q43177503
224,Q43177519
225,Q43178216
226,Q43178542
227,Q43178548
228,Q43178554
229,Q43178561
230,Q43178568
231,Q43178575
232,Q43178708
233,Q43178713
234,Q43178722
235,Q43178728
236,Q43178749
237,Q43178759
238,Q43178788
239,Q43178806
240,Q43178806
241,Q43178818
242,Q43179063
243,Q43179076
244,Q43179084
245,Q43179093
246,Q43179102
247,Q43179102
248,Q43179134
249,Q43179160
250,Q43179165
251,Q43179191
252,Q43179202
253,Q43179216
254,Q43179216
255,Q43179241
256,Q43179250
257,Q43179261
258,Q43179297
259,Q43179566
260,Q43179613
261,Q43179741
262,Q4397801
263,Q4891034
264,Q5192633
265,Q5192637
266,Q5399068
267,Q5409313
268,Q5493020
269,Q5495085
270,Q5553936
271,Q5574972
272,Q5646903
273,Q56677165
274,Q56677184
275,Q56677648
276,Q56677668
277,Q5705046
278,Q5714931
279,Q5727908
280,Q5748232
281,Q5748356
282,Q5748392
283,Q5754109
284,Q5754207
285,Q5754559
286,Q5754892
287,Q5755139
288,Q5755355
289,Q5755409
290,Q5755506
291,Q5756303
292,Q5757430
293,Q5757508
294,Q5757552
295,Q5757559
296,Q5760332
297,Q5760341
298,Q5760372
299,Q5760449
300,Q5800691
301,Q5817402
302,Q5822058
303,Q5823584
304,Q5835906
305,Q5835936
306,Q5835964
307,Q5835985
308,Q5836033
309,Q5836047
310,Q5836080
311,Q5836082
312,Q5836162
313,Q5836194
314,Q5836248
315,Q5836296
316,Q5836593
317,Q5854376
318,Q5864162
319,Q5873064
320,Q5891149
321,Q5891151
322,Q5897722
323,Q5909048
324,Q5909060
325,Q5909064
326,Q5909067
327,Q5909315
328,Q5909546
329,Q5909548
330,Q5909551
331,Q5909729
332,Q5909934
333,Q5909980
334,Q5909992
335,Q5910005
336,Q5910336
337,Q5910365
338,Q5910492
339,Q5910514
340,Q5910699
341,Q5910712
342,Q5910930
343,Q5911002
344,Q5911170
345,Q5912035
346,Q5912213
347,Q59155748
348,Q59213382
349,Q59243833
350,Q5962729
351,Q5968885
352,Q599116
353,Q6017982
354,Q6020927
355,Q6020934
356,Q6020938
357,Q6020947
358,Q6020959
359,Q6032843
360,Q6039283
361,Q6057887
362,Q6058132
363,Q6063491
364,Q6063667
365,Q6079856
366,Q6080352
367,Q6090895
368,Q6095054
369,Q6139658
370,Q6150387
371,Q6162455
372,Q6169507
373,Q62363730
374,Q6405964
375,Q6447266
376,Q7414234
377,Q8342548
378,Q8352462
379,Q9006831
380,Q9082133
381,Q9089023
382,Q34485
383,Q34562
384,Q63368
